                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     65,               0.024938,               0.018972,               0.014876,                      0,                0.92539,                0.76178,                0.85792,                0.63036,                0.91839,                0.75602,                0.84157,                0.61296,               0.029313,               0.022531,                0.01549,                      0,              0.0087328,              0.0087328,              0.0087328
                     66,               0.024755,               0.019449,               0.014829,                      0,                 0.9246,                0.75314,                0.85016,                0.64093,                0.92224,                0.75122,                0.83515,                0.61482,               0.028467,               0.021168,               0.015772,                      0,               0.008713,               0.008713,               0.008713
                     67,               0.025385,               0.019641,               0.015499,                      0,                0.90856,                0.77927,                0.85695,                0.63369,                 0.9176,                0.76945,                0.84638,                0.61992,               0.028849,               0.020846,               0.014794,                      0,              0.0086932,              0.0086932,              0.0086932
                     68,                0.02534,               0.019331,               0.015109,                      0,                0.92516,                0.75925,                0.85335,                0.62395,                0.92277,                 0.7568,                0.84347,                0.59963,               0.029459,               0.021185,               0.015305,                      0,              0.0086734,              0.0086734,              0.0086734
                     69,               0.024447,               0.019109,               0.014739,                      0,                0.91301,                0.78561,                0.85541,                0.64098,                 0.9208,                  0.781,                0.85009,                0.61201,               0.028564,               0.021205,               0.014626,                      0,              0.0086536,              0.0086536,              0.0086536
                     70,                0.02522,               0.019308,               0.015532,                      0,                0.89943,                0.75527,                0.85047,                0.64386,                0.91119,                0.74831,                0.84423,                0.61744,               0.029355,                0.02137,                0.01521,                      0,              0.0086338,              0.0086338,              0.0086338
                     71,               0.024388,               0.018973,               0.014645,                      0,                0.93924,                 0.7428,                0.84728,                0.63046,                0.93422,                0.73896,                0.83757,                 0.6121,               0.029053,               0.020816,               0.014944,                      0,               0.008614,               0.008614,               0.008614
                     72,               0.024357,                  0.019,               0.014278,                      0,                0.92111,                0.78503,                0.86015,                0.63523,                0.91641,                0.77854,                0.84998,                0.62236,               0.028572,               0.020533,               0.015694,                      0,              0.0085942,              0.0085942,              0.0085942
                     73,               0.024588,               0.018646,               0.014289,                      0,                0.89092,                0.79949,                0.85962,                0.64506,                0.92954,                0.75969,                0.84968,                0.62497,               0.027988,               0.020611,               0.015247,                      0,              0.0085744,              0.0085744,              0.0085744
                     74,               0.024225,               0.018496,               0.014751,                      0,                0.89156,                0.78903,                0.85651,                0.63445,                0.88946,                0.78767,                 0.8491,                0.61171,                 0.0288,               0.020977,               0.014936,                      0,              0.0085546,              0.0085546,              0.0085546
                     75,               0.023887,               0.018461,               0.014439,                      0,                0.93665,                0.76392,                0.86032,                0.64164,                 0.9094,                0.77066,                0.84745,                0.62333,               0.029001,               0.020671,               0.014749,                      0,              0.0085348,              0.0085348,              0.0085348
                     76,               0.024286,               0.018725,               0.014768,                      0,                0.90165,                0.76967,                0.85594,                0.64096,                0.89475,                0.76392,                0.84333,                0.61066,               0.028788,               0.021576,               0.015611,                      0,               0.008515,               0.008515,               0.008515
                     77,               0.023916,               0.018385,               0.013848,                      0,                0.93505,                  0.762,                0.86225,                0.65163,                0.93034,                0.75816,                0.85467,                0.61435,               0.028231,               0.021096,               0.015234,                      0,              0.0084952,              0.0084952,              0.0084952
                     78,               0.024086,               0.018268,               0.014212,                      0,                0.93864,                0.76392,                0.85901,                0.64212,                0.93707,                0.76583,                0.85603,                0.61494,               0.028401,               0.021217,                 0.0151,                      0,              0.0084754,              0.0084754,              0.0084754
