                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     35,               0.025516,               0.018978,               0.015005,                      0,                0.90597,                0.75818,                 0.8663,                0.65101,                  0.926,                0.74088,                0.85288,                  0.616,                0.02782,               0.020359,               0.014173,                      0,              0.0093268,              0.0093268,              0.0093268
                     36,                0.02517,                0.01891,               0.014614,                      0,                 0.9487,                0.78084,                0.87051,                0.65211,                0.94213,                0.77543,                0.85862,                 0.6346,               0.026895,               0.019851,               0.015068,                      0,               0.009307,               0.009307,               0.009307
                     37,               0.024665,               0.018777,               0.014379,                      0,                0.90825,                0.77897,                0.84837,                0.63873,                0.89708,                 0.7696,                0.82974,                0.60603,               0.029322,               0.021335,               0.014765,                      0,              0.0092872,              0.0092872,              0.0092872
                     38,               0.024811,               0.018695,                0.01457,                      0,                0.92898,                0.76008,                  0.859,                0.66005,                 0.9269,                0.75816,                0.84586,                0.61782,               0.028418,                0.02048,               0.014617,                      0,              0.0092674,              0.0092674,              0.0092674
                     39,               0.023858,               0.018546,                0.01418,                      0,                0.89578,                0.80614,                0.86184,                0.65845,                0.89022,                0.80038,                0.85024,                0.61753,               0.027255,               0.020084,               0.014036,                      0,              0.0092476,              0.0092476,              0.0092476
                     40,               0.024141,               0.018204,                 0.0139,                      0,                0.91485,                0.80998,                0.87772,                0.65895,                 0.9106,                 0.8016,                0.87147,                0.63234,               0.027059,               0.019152,               0.013619,                      0,              0.0092278,              0.0092278,              0.0092278
                     41,                0.02382,               0.018322,               0.014224,                      0,                0.92041,                0.79905,                0.87854,                0.66144,                0.90912,                0.78695,                0.86011,                0.62713,               0.027402,               0.019566,               0.013528,                      0,               0.009208,               0.009208,               0.009208
                     42,               0.023839,               0.017694,               0.013813,                      0,                0.90855,                0.79655,                0.87018,                0.66569,                0.89715,                0.78687,                0.85829,                0.62245,               0.027877,               0.020102,               0.013675,                      0,              0.0091882,              0.0091882,              0.0091882
                     43,               0.022984,               0.018004,                0.01337,                      0,                0.90747,                0.78311,                0.85512,                0.65575,                0.91593,                0.77159,                0.84363,                0.64016,                0.02814,               0.020496,                0.01476,                      0,              0.0091684,              0.0091684,              0.0091684
                     44,               0.022805,               0.017607,               0.013998,                      0,                0.93136,                0.78129,                0.86897,                0.67327,                0.92907,                0.77937,                0.85899,                0.63652,               0.026102,               0.019158,               0.014487,                      0,              0.0091486,              0.0091486,              0.0091486
                     45,               0.023241,               0.017812,               0.013231,                      0,                0.91025,                0.78695,                0.86629,                0.67557,                0.91247,                0.78887,                0.86152,                0.62967,               0.026164,               0.019897,               0.014203,                      0,              0.0091288,              0.0091288,              0.0091288
                     46,               0.022899,               0.017845,               0.013296,                      0,                0.91675,                0.78887,                0.87407,                0.67589,                0.92251,                0.76392,                  0.863,                0.64408,                0.02643,               0.019361,               0.014413,                      0,               0.009109,               0.009109,               0.009109
                     47,               0.022199,               0.017873,               0.013375,                      0,                 0.9164,                0.79271,                0.84828,                0.66989,                0.91418,                0.79079,                0.84463,                0.63101,               0.027457,               0.019891,                0.01607,                      0,              0.0090892,              0.0090892,              0.0090892
                     48,               0.022507,               0.017486,                0.01298,                      0,                0.92624,                0.79271,                0.86279,                0.67676,                0.91952,                0.78695,                0.85487,                0.64927,               0.026343,               0.019954,               0.013786,                      0,              0.0090694,              0.0090694,              0.0090694
                     49,                0.02219,               0.017741,               0.013056,                      0,                0.92277,                0.78311,                0.87322,                 0.6861,                0.92277,                0.78311,                0.86558,                0.64611,               0.025658,               0.019743,               0.014709,                      0,              0.0090496,              0.0090496,              0.0090496
                     50,               0.022422,               0.017335,               0.013264,                      0,                0.94058,                 0.8023,                0.86893,                0.67768,                0.95292,                0.78311,                0.85979,                0.63688,               0.026158,               0.019509,               0.014703,                      0,              0.0090298,              0.0090298,              0.0090298
                     51,               0.022353,               0.017268,               0.013104,                      0,                0.89378,                0.78887,                0.86117,                0.67608,                0.90323,                0.77036,                0.85014,                0.63854,               0.026262,               0.019618,               0.014833,                      0,                0.00901,                0.00901,                0.00901
                     52,               0.022134,               0.017515,               0.013023,                      0,                0.91922,                0.78503,                  0.867,                0.68154,                0.91697,                0.78311,                0.86099,                 0.6572,               0.025369,               0.019779,               0.015083,                      0,              0.0089902,              0.0089902,              0.0089902
                     53,               0.021595,               0.017103,               0.013077,                      0,                0.94806,                0.78311,                 0.8705,                0.68136,                0.94853,                0.77351,                0.86797,                0.64117,               0.025944,               0.019368,               0.014139,                      0,              0.0089704,              0.0089704,              0.0089704
                     54,               0.021915,               0.016924,               0.013138,                      0,                0.92007,                0.83109,                 0.8907,                0.69777,                0.90538,                0.82646,                0.88272,                0.65526,               0.024888,               0.019122,               0.013871,                      0,              0.0089506,              0.0089506,              0.0089506
                     55,               0.021435,               0.016685,               0.012321,                      0,                0.94419,                 0.8023,                0.87179,                0.68523,                0.93862,                0.79271,                0.86353,                 0.6534,               0.026077,               0.019076,               0.013886,                      0,              0.0089308,              0.0089308,              0.0089308
                     56,               0.022033,               0.016831,               0.012824,                      0,                0.93945,                0.78695,                0.88315,                0.69065,                0.93577,                  0.783,                0.87582,                0.65669,               0.025017,               0.019165,               0.014229,                      0,               0.008911,               0.008911,               0.008911
                     57,               0.021339,               0.016659,               0.012476,                      0,                0.93916,                0.79846,                0.88566,                0.69992,                 0.9148,                0.80378,                0.88257,                0.66094,               0.024937,               0.019055,               0.014603,                      0,              0.0088912,              0.0088912,              0.0088912
                     58,               0.020689,               0.016878,               0.012105,                      0,                0.91648,                0.80998,                 0.8699,                0.68257,                0.91003,                  0.796,                0.86054,                0.65302,               0.026235,               0.019403,               0.014839,                      0,              0.0088714,              0.0088714,              0.0088714
                     59,               0.021474,               0.016388,               0.012719,                      0,                0.92664,                0.80005,                0.86234,                0.67743,                0.92706,                0.78059,                0.85057,                0.62715,                0.02697,               0.019843,                0.01487,                      0,              0.0088516,              0.0088516,              0.0088516
                     60,               0.021132,               0.016813,               0.012508,                      0,                0.93522,                0.80806,                0.87245,                0.68666,                0.92927,                 0.8023,                0.86759,                0.64809,               0.026073,               0.019624,               0.014832,                      0,              0.0088318,              0.0088318,              0.0088318
                     61,               0.020715,               0.016573,               0.012631,                      0,                0.93573,                0.82342,                0.89001,                0.70704,                0.93049,                0.80038,                0.87661,                0.65726,               0.024674,               0.018964,               0.013955,                      0,               0.008812,               0.008812,               0.008812
                     62,               0.021148,               0.016201,               0.013252,                      0,                0.95151,                0.79092,                0.87344,                0.68661,                0.96285,                0.77543,                0.85817,                 0.6446,               0.025748,               0.019151,               0.014753,                      0,              0.0087922,              0.0087922,              0.0087922
                     63,               0.020815,               0.016223,                0.01207,                      0,                0.94764,                0.79902,                0.88297,                0.69977,                0.94085,                0.79376,                0.87176,                0.65467,               0.025326,               0.019395,                0.01444,                      0,              0.0087724,              0.0087724,              0.0087724
                     64,               0.019913,               0.015749,               0.011808,                      0,                0.94699,                0.81574,                0.88352,                0.69218,                0.93807,                0.80806,                0.87445,                 0.6399,                0.02576,               0.019442,               0.014232,                      0,              0.0087526,              0.0087526,              0.0087526
                     65,               0.021168,                0.01614,               0.012322,                      0,                0.94952,                0.78695,                0.87143,                0.68849,                0.94257,                0.78119,                0.86066,                0.65206,               0.025485,               0.019365,               0.014788,                      0,              0.0087328,              0.0087328,              0.0087328
                     66,               0.020272,               0.016489,               0.011984,                      0,                0.94675,                0.78496,                0.88022,                0.70455,                0.96105,                0.77159,                0.86443,                0.65589,               0.025606,               0.019669,               0.014191,                      0,               0.008713,               0.008713,               0.008713
                     67,                0.02015,               0.015795,                0.01175,                      0,                0.92416,                0.80806,                0.87739,                0.69822,                0.90144,                 0.8215,                  0.876,                0.65377,               0.024352,               0.018932,               0.014432,                      0,              0.0086932,              0.0086932,              0.0086932
                     68,                0.01976,               0.016026,               0.012101,                      0,                0.95333,                0.78311,                0.86082,                0.68721,                0.94612,                0.77512,                0.84559,                0.65718,               0.026696,               0.019347,                0.01499,                      0,              0.0086734,              0.0086734,              0.0086734
                     69,               0.019744,               0.015877,               0.011882,                      0,                0.93771,                0.80907,                0.88543,                0.69444,                0.95347,                0.78667,                0.87388,                0.65506,               0.024954,               0.019355,                0.01411,                      0,              0.0086536,              0.0086536,              0.0086536
                     70,               0.019593,               0.015823,               0.011589,                      0,                0.95598,                  0.792,                0.88074,                0.70412,                 0.9444,                0.78241,                0.87179,                0.65227,               0.025202,               0.019234,               0.014235,                      0,              0.0086338,              0.0086338,              0.0086338
                     71,               0.019809,               0.015371,               0.011507,                      0,                0.88936,                0.82534,                0.88003,                0.69547,                0.93454,                0.77927,                0.86544,                0.64524,               0.024615,                0.01915,               0.013889,                      0,               0.008614,               0.008614,               0.008614
                     72,               0.019147,               0.015693,               0.011468,                      0,                 0.9208,                 0.8119,                0.88199,                0.70514,                0.89383,                0.82534,                0.87369,                0.66589,               0.024196,               0.018635,               0.014157,                      0,              0.0085942,              0.0085942,              0.0085942
                     73,               0.019335,               0.015855,               0.011654,                      0,                0.92214,                 0.8184,                0.89656,                0.70783,                0.90906,                0.80614,                0.88398,                0.66465,               0.024264,               0.019007,               0.013692,                      0,              0.0085744,              0.0085744,              0.0085744
